,grid_id,location,txt,flood_ct
10,"(-44, 170)","['Westland', 'Westland province', ' Westland provinces']","According to the United States Census Bureau, the city has a total area of 20.45 square miles (52.97 km2), of which 20.43 square miles (52.91 km2) is land and 0.02 square miles (0.05 km2) is water.",2.0
11,"(-44, 171)","[' Timaru', 'Rangiora', 'Canterbury', 'Opuha', 'Canterbury', 'Canterbury', 'Canterbury region']",Timaru is situated along the Pacific Ocean coast. Much of the hinterland is farmland. To the north and northeast are the Canterbury Plains.,4.0
12,"(-44, 173)","['Christchurch', 'Christchurch']","Christchurch lies in Canterbury, near the centre of the east coast of the South Island, east of the Canterbury Plains. It is located near the southern end of Pegasus Bay, and is bounded to the east by the Pacific Ocean coast and the estuary of the Avon and Heathcote Rivers. To the south and south-east the urban portion of the city is limited by the volcanic slopes of the Port Hills separating it from Banks Peninsula. To the north the city is bounded by the braided Waimakariri River.
Christchurch is one of a group of only four current cities in the world to have been carefully planned following the same layout of a central city square, four complementing city squares surrounding it and a parklands area that embrace the city centre. The first city built with this pattern was Philadelphia. Later came Savannah and Adelaide, before Christchurch.Christchurch has one of the highest-quality water supplies in the world, with its water rated among the purest and cleanest in the world. Untreated, naturally filtered water is sourced, via more than 50 pumping stations surrounding the city, from aquifers emanating from the foothills of the Southern Alps. However, since 2018 about 70% of Christchurch's water supply has been temporarily chlorinated due to well-head upgrades, and the chlorination is planned to be stopped after the upgrades have been completed and certified.",0.0
13,"(-43, -74)",['Chiloe'],"The Chiloé Province (Spanish: Provincia de Chiloé) includes all of the Chiloé Archipelago, except the Grupo Desertores islands, plus the Isla Guafo, for a total land area of approximately 9,181 square kilometres (3,545 square miles). The administrative center of the province is the city of Castro, while the episcopal see of the Roman Catholic bishopric is Ancud. The province of Chiloé is part of the Los Lagos Region (Región de los Lagos), which primarily consists of the Chilean lakes region on the mainland north of Chiloé; the administrative center of the region is Puerto Montt.
Chiloé Island is by far the largest island in the archipelago, at 8,394 square kilometres (3,241 square miles). It is roughly rectangular, with its long axis oriented from north to south. To the east of Chiloé Island lies the Sea of Chiloé, which contains most of the other islands in the archipelago. The Sea of Chiloé is a marginal sea separating Chiloé Island from Palena Province (also called Continental Chiloé). The main islands in the Sea of Chiloé are Quinchao, Lemuy, Tranqui, and Desertores Islands. To the northeast and southeast of the archipelago lie the Gulf of Ancud and the Gulf of Corcovado; the former is part of the Sea of Chiloé. Some 40 kilometres (25 miles) southwest of Chiloé Island lies Guafo Island, the southernmost island of the archipelago.
Chiloé Island is separated from the Chilean mainland by the 2-kilometre-wide (1.2-mile) Chacao Channel in the north. Most of the good harbors are located on the island's northern and eastern shores. The eastern shore is marked by a series of peninsulas and inlets, notably Estero de Castro where the capital, Castro, is located. The western part of Chiloé Island, as well as the whole of Guafo Island, is hilly and covered by forests. The hills are subdivided into two north–south ranges, Piuchén and Pirulil, separated by the lakes Cucao and Huillinco. They contain the highest points in the archipelago and do not exceed 800 metres (2,600 feet). Depressions in the western forest are occupied by numerous small lakes and bogs scattered across the landscape.
A bridge to the mainland is planned for the archipelago, despite opposition from some residents who fear pollution and habitat destruction. The Chacao Channel bridge would replace the ferry that connects the village of Chacao, Ancud Comuna, on Route 5 at the northern end of Chiloé Island, across the Chacao Channel with the village of Pargua, Calbuco Comuna, on the mainland.",1.0
14,"(-43, -72)",[' Futaleufu towns '],"The Futaleufú River is fed by a chain of lakes in the Los Alerces National Park in Chubut Province, Argentina. The name, Futaleufú, is given to the river below the Futaleufú Dam and Amutui Quimey Reservoir.  The watershed drains the Southern Andes Mountains  from Argentina into Chile and drains into Yelcho Lake. From this point the river is renamed Rio Yelcho and continues to its mouth at the Pacific Ocean. From its source in Argentina, the river flows 35 kilometres (22 mi) to the Chilean border and enters the Palena Province, in Los Lagos (X) Region. Whitewater enthusiasts generally paddle the Chilean side of the river.During its course through Chile, the Futaleufú River has three major tributaries, the Rio Chico, the Rio Espolon, and the Rio Azul. All three major tributaries of the ""Futa"" can be rafted or kayaked in season, with the exception of a magnificent gorge on the Espolon called ""The Devil's Throat,"" which is better viewed than paddled. The Futaleufú watershed also includes several lakes including Lago Espolon, Lago Lonconao, and Lago Pinilla.",0.0
15,"(-43, 147)","['Hobart', 'Brighton']",,1.0
16,"(-43, 171)","['Inangahua', 'Greymouth', 'Greymouth Borough', 'Inangahua', 'Greymouth']",,3.0
17,"(-42, -73)",[' Los Lagos'],"The region is bordered on the north by Los Ríos Region, on the south by Aisén Region, on the west by the Pacific Ocean and on the east by Argentina (provinces of Neuquén, Río Negro and Chubut). Wild environments can be seen along the coastal area, such as Caleta Zorra.",0.0
18,"(-42, -72)","[' Hualaihué', 'Bariloche district ', ' Bariloche district ', 'Bariloche district']","The park covers approximately 7,050 square kilometres (2,720 sq mi). It is located in the southwest section of the Neuquén and northwest section of the Río Negro provinces, bordering with Chile. The park has two zones: the park and the natural reserve with development concentrated in the reserve. The largest city and a base for tourism is San Carlos de Bariloche, which is surrounded by the park. San Carlos de Bariloche is the main hub when visiting the lake, and is known as the ""Gateway to Patagonia"", the ""Chocolate Capital"" and the ""Honeymoon Capital"" of Argentina. However, the city and other settlements are zoned outside the limits of the park. A further subzoning into the north, south and southern zones has been implemented with an exclusive recreational area named the Cerro Cathedral. Villa La Angostura is another lakeside resort also within the boundaries of the park.The area is known as the Argentine Lake District, as there are many lakes in the park, including Nahuel Huapi, Mascardi, Gutiérrez, Traful, Guillelmo, Fonck and Perito Moreno Lakes. Cerro Catedral is a 2,388-metre-high (7,835 ft) peak within the park and an important ski resort. Cerro Tronador, on the Chilean border, is the highest mountain in the park at 3,491 metres (11,453 ft). Bordering the park to the north is the Lanín National Park.
GeologyGeological formations in  the park and the reserve are generally tertiary rocks of volcanic origin coupled with andesites and porphyrys. The cliffs of the San Pedro Peninsula depict eroded glacial features and the lakes also show many glacial effects.
ClimateThe park has a cold temperate climate. Winters are cold and rainy with frequent snowfalls. Mean temperatures range between 2 to 4 °C (35.6 to 39.2 °F) during winter. Summers are dry with mean temperatures ranging between 14 to 16 °C (57.2 to 60.8 °F). Mean annual precipitation ranges from 4,000 mm (160 in) in Puerto Blest and decreases towards the east, averaging only 600 mm (24 in) in the easternmost parts.",0.0
19,"(-42, 147)","[' Tasmania ', ' Northeast Tasmania']","Tasmania, the largest island of Australia, has a landmass of 68,401 km2 (26,410 sq mi) and is located directly in the pathway of the notorious ""Roaring Forties"" wind that encircles the globe. To its north, it is separated from mainland Australia by Bass Strait. Tasmania is the only Australian state that is not located on the Australian mainland. About 2,500 kilometres (1,300 nautical miles) south of Tasmania island lies the George V Coast of Antarctica. Depending on which borders of the oceans are used, the island can be said to be either surrounded by the Southern Ocean, or to have the Pacific on its east and the Indian to its west. Still other definitions of the ocean boundaries would have Tasmania with the Great Australian Bight to the west, and the Tasman Sea to the east. The southernmost point on mainland Tasmania is approximately 43°38′37″S 146°49′38″E at South East Cape, and the northernmost point on mainland Tasmania is approximately 40°38′26″S 144°43′33″E in Woolnorth / Temdudheker near Cape Grim / Kennaook. Tasmania lies at similar latitudes to Te Waipounamu / South Island of New Zealand, and parts of Patagonia in South America, and relative to the Northern Hemisphere, it lies at similar latitudes to Hokkaido in Japan, Northeast China (Manchuria), the north Mediterranean in Europe, and the Canada-United States border. 

The most mountainous region is the Central Highlands area, which covers most of the central western parts of the state. The Midlands located in the central east, is fairly flat, and is predominantly used for agriculture, although farming activity is scattered throughout the state. Tasmania's tallest mountain is Mount Ossa at 1,617 m (5,305 ft). Much of Tasmania is still densely forested, with the Southwest National Park and neighbouring areas holding some of the last temperate rain forests in the Southern Hemisphere. The Tarkine, containing Savage River National Park located in the island's far north west, is the largest temperate rainforest area in Australia covering about 3,800 square kilometres (1,500 sq mi). With its rugged topography, Tasmania has a great number of rivers. Several of Tasmania's largest rivers have been dammed at some point to provide hydroelectricity. Many rivers begin in the Central Highlands and flow out to the coast. Tasmania's major population centres are mainly situated around estuaries (some of which are named rivers).
Tasmania is in the shape of a downward-facing triangle, likened to a shield, heart, or face. It consists of the main island as well as at least a thousand neighbouring islands within the state's jurisdiction. The largest of these are Flinders Island in the Furneaux Group of Bass Strait, King Island in the west of Bass Strait, Cape Barren Island south of Flinders Island, Bruny Island separated from Tasmania by the D'Entrecasteaux Channel, Macquarie Island 1,500 km from Tasmania, and Maria Island off the east coast. 
Tasmania features a number of separated and continuous mountain ranges. The majority of the state is defined by a significant dolerite exposure, though the western half of the state is older and more rugged, featuring buttongrass plains, temperate rainforests, and quartzite ranges, notably Federation Peak and Frenchmans Cap. The presence of these mountain ranges is a primary factor in the rain shadow effect, where the western half receives the majority of rainfall, which also influences the types of vegetation that can grow. The Central Highlands feature a large plateau which forms a number of ranges and escarpments on its north side, tapering off along the south, and radiating into the highest mountain ranges in the west. At the north-west of this, another plateau radiates into a system of hills where takayna / Tarkine is located.
The  Interim Biogeographic Regionalisation for Australia (IBRA) divides Tasmania into 9 bioregions:Ben Lomond, Furneaux, King, Central Highlands, Northern Midlands, Northern Slopes, Southern Ranges, South East, and West.

Tasmania's environment consistes of many different biomes or communities across its different regions. It is the most forested state in Australia, and preserves the country's largest areas of temperate rainforest. A distinctive type of moorland found across the west, and particularly south-west of Tasmania, are buttongrass plains, which are speculated to have been expanded by Tasmanian Aboriginal burning practices. Tasmania also features a diverse alpine garden environment, such as cushion plant. Highland areas receive consistent snowfall above ~1,000 metres every year, and due to cold air from Antarctica, this level often reaches 800 m, and more occasionally 600 or 400 metres. Every five or so years, snow can form at sea level. This environment gives rise to the cypress forests of the Central Plateau and mountainous highlands. In particular, the Walls of Jerusalem with large areas of rare pencil pine, and its closest relative King Billy pine. On the West Coast Range and partially on Mount Field, Australia's only winter-deciduous plant, deciduous beech is found, which forms a carpet or krummholz, or very rarely a 4-metre tree.Tasmania features a high concentration of waterfalls. These can be found in small creeks, alpine streams, rapid rivers, or off precipitous plunges. Some of the tallest waterfalls are found on mountain massifs, sometimes at a 200-metre cascade. The most famous and most visited waterfall in Tasmania is Russell Falls in Mount Field due to its proximity to Hobart and stepped falls at a total height of 58 metres. 
Tasmania also has a large number of beaches, the longest of which is Ocean Beach on the West Coast at about 40 kilometres. Wineglass Bay in Freycinet on the east coast is a well-known landmark of the state.
The Tasmanian temperate rainforests cover a few different types. These are also considered distinct from the more common wet sclerophyll forests, though these eucalypt forests often form with rainforest understorey and ferns (such as tree-ferns) are usually never absent. Rainforest found in deep gullies are usually difficult to traverse due to dense understorey growth, such as from horizontal (Anodopetalum biglandulosum). Higher-elevation forests (~500 to 800 m) have smaller ground vegetation and are thus easier to walk in. The most common rainforests usually have a 50-metre canopy and are varied by environmental factors. Emergent growth usually comes from eucalyptus, which can tower another 50 metres higher (usually less), providing the most common choice of nesting for giant wedge-tailed eagles.
The human environment ranges from urban or industrial development, to farming or grazing land. The most cultivated area is the Midlands, where it has suitable soil but is also the driest part of the state.
Tasmania's insularity was possibly detected by Captain Abel Tasman when he charted Tasmania's coast in 1642. On 5 December, Tasman was following the east coast northward to see how far it went. When the land veered to the north-west at Eddystone Point, he tried to keep in with it but his ships were suddenly hit by the Roaring Forties howling through Bass Strait. Tasman was on a mission to find the Southern Continent, not more islands, so he abruptly turned away to the east and continued his continent-hunting.The next European to enter the strait was Captain James Cook on HMS Endeavour in April 1770. However, after sailing for two hours westward into the strait against the wind, he turned back east and noted in his journal that he was ""doubtful whether they [i.e. Van Diemen's Land and New Holland] are one land or no"".The strait was named after George Bass, after he and Matthew Flinders passed through it while circumnavigating Van Diemen's Land in the Norfolk in 1798–99. At Flinders' recommendation, the Governor of New South Wales, John Hunter, in 1800 named the stretch of water between the mainland and Van Diemen's Land ""Bass's Straits"". Later it became known as Bass Strait.
The existence of the strait had been suggested in 1797 by the master of Sydney Cove when he reached Sydney after deliberately grounding his foundering ship and being stranded on Preservation Island (at the eastern end of the strait). He reported that the strong south westerly swell and the tides and currents suggested that the island was in a channel linking the Pacific and southern Indian Ocean. Governor Hunter thus wrote to Joseph Banks in August 1797 that it seemed certain a strait existed.",0.0
20,"(-42, 174)",[' Kaikoura '],"The stretch of coastline stretching roughly between the mouths of the Conway and Waiau Toa / Clarence Rivers is generally known as the Kaikōura coast. This coast is unusual for the South Island east coast, as there is very little coastal plain, with the Seaward Kaikōura Range, a branch of the Southern Alps / Kā Tiritiri o te Moana, rising straight from the ocean.
The town of Kaikōura has the Seaward Kaikōuras as a backdrop.  One of the walking tracks for visitors is the Mt. Fyffe track, which winds up Mt. Fyffe, and gives a panoramic view of the Kaikōura peninsula from the summit.
The Kaikōura Peninsula extends into the sea south of the town, and the resulting upwelling currents bring an abundance of marine life from the depths of the nearby Hikurangi Trench. The town owes its origin to this effect, since it developed as a centre for the whaling industry.  The name Kaikōura means 'meal of crayfish' (kai – food/meal, kōura – crayfish) and the crayfish industry still plays a role in the economy of the region. However Kaikōura has now become a popular tourist destination, mainly for whale watching (the sperm whale watching is well developed) and swimming with or near dolphins.",0.0
21,"(-41, -73)","['Llanquihue district', 'Puerto Montt', 'Santiago & Puerto Mont', 'Puerto Monte']",,0.0
22,"(-41, -72)","[' Rio Bueno towns ', 'Puerto Varas']","Los Ríos Region lies in the southern temperate zone and in a tectonically active milieu. Four distinct landscape types, or morphological units, can be distinguished in the region. These are from west to east; the Coastal Range, the Intermediate Depression, the Precordillera and the Andes. These units are oriented parallel to the coast and the subduction zone there. An exception to this are the eastern hills in Mariquina and Máfil that despite belonging to the Coast Range system adrift eastwards and comes very close to the Precordillera cutting the Intermediate Depression in two. The Coastal Cordillera does not exceed the 1000 m in height being Cerro Oncol (715 m) the highest point in the section north of Valdivia River. The Coast Range is cut by Valdivia and Bueno Rivers, deeply incised rivers that drains the inland. Most of the Coast is covered by native Valdivian temperate rain forest, although it has in some parts been substituted by plantations of exotic species, specially Douglas firs and eucalyptus.
Two great agricultural flatlands exist in the region, the Mariquina valley and Los Llanos of La Unión and Río Bueno. The first one is a tectonic depression in the Coast Range connected to Valdivia by Cruces River and the second is the continuation of the Intermediate Depression that re-opens south of Máfil. The flatlands and mayor river valleys form large, open, cultural landscapes used as grassing meadows or for growing crops.
The Precordillera is a narrow band characterized by hosting a large number of deep glacial piedmont lakes that are dammed by moraines. These lakes intersect forested granitic mountain massifs of up to 1500 m. The Precordilleran hills and mountains have step slopes to the north and south as the main direction of the Quaternary glaciers where from east to west. Many lake shores are cleared lands where agriculture, settlements and resort areas develop.",1.0
23,"(-41, 173)","['Tasman', 'Nelson', 'Tasman', 'Nelson']","The Tasman Sea is 2,250 km (1,400 mi) wide and has an area of 2,300,000 km2 (890,000 sq mi). The maximum depth of the sea is 5,943 m (19,498 ft). 
The base of the sea is made up of globigerina ooze. A small zone of pteropod ooze is found to the south of New Caledonia and to the southern extent of 30°S, siliceous ooze can be found.",3.0
24,"(-41, 175)","['Horowhenua', 'Horowhenua', 'Lower Hutt', 'Kapiti coast', 'Porirua', 'Wellington province']","The city centres on the lower southern valley of the Hutt River, to the northeast of the city of Wellington. The valley widens into a delta as the river nears its mouth, so the central urban area of the city forms a triangle with its longest side along the shoreline. In the upper reaches of the city the Western and Eastern Hutt Hills become closer, culminating in the Taitā Gorge at the northern end of Lower Hutt, separating the city from neighbouring Upper Hutt.Lower Hutt includes the cluster of small settlements that extend down the eastern coast of Wellington Harbour. These include the two large townships of Wainuiomata and Eastbourne. The city also includes a large area of sparsely-populated land to the east of the harbour, extending to Pencarrow Head and into the Remutaka Range. Lower Hutt's boundaries also include the islands in Wellington Harbour, the largest of which is Matiu / Somes Island.",4.0
25,"(-41, 176)",['Masterton'],"The Bill Masterton Memorial Trophy is awarded annually to the National Hockey League player who best exemplifies the qualities of perseverance, sportsmanship, and dedication to ice hockey. It is named after Bill Masterton, the only player in NHL history to die as a direct result of injuries suffered during a game. The winner is selected by a poll of the Professional Hockey Writers' Association after each team nominates one player in competition. It is often awarded to a player who has come back from career– or even life-threatening illness or injury.

",0.0
26,"(-40, -67)",['Rio Negro valley'],,1.0
27,"(-40, -63)",['Patagonia'],"The town is located in the valley of Sonoita Creek between the Santa Rita Mountains to the north and the Patagonia Mountains to the south. State Route 82 passes through the town. Nogales lies to the southwest and Sonoita to the northeast.
The former mining camps (now ghost towns) of Harshaw, Duquesne and Lochiel lie to the southeast along the eastern margin of the Patagonia Mountains. The high San Rafael Valley also lies to the southeast. Patagonia Lake State Park, around Patagonia Lake, lies about six miles southwest of the town.According to the United States Census Bureau, the town has a total area of 1.3 square miles (3.3 km2), all land.",0.0
28,"(-40, 175)",['Wanganui'],"Whanganui is on the South Taranaki Bight, close to the mouth of the Whanganui River. It is 200 km (120 mi) north of Wellington and 75 km (47 mi) northwest of Palmerston North, at the junction of State Highways 3 and 4. Most of the city lies on the river's northwestern bank, because of the greater extent of flat land. The river is crossed by five bridges: Cobham Bridge, City Bridge, Dublin Street Bridge and Aramoho Railway Bridge (rail and pedestrians only) and a Cycle bridge which was opened in 2020.Both Mount Ruapehu and Mount Taranaki can be seen from Durie Hill and other vantage points around the city.",1.0
29,"(-40, 176)","[' Rangitikei', 'Aorangi', 'Palmerston North']","Located north of Wellington, the district stretches from the South Taranaki Bight toward the North Island Volcanic Plateau, forming a trapezium-shaped block that includes the towns of Taihape, Bulls, Marton, Hunterville, and Mangaweka. The district has a land area of 4,483.91 km².",3.0
30,"(-39, -73)",['Carahue'],"Virgin forests, featuring coigüe, raulí, and tepa, as well as bay and cypress trees, criss-cross the region in all directions. The majestic araucaria, or monkey puzzle tree, also known locally as pehuén, towers above the other trees. Its fruit—the piñón, a type of pine nut—is still a staple food for the indigenous Pehuenches.
A large part of this natural wealth is protected in various national parks (Nahuelbuta, Tolhuaca. Conguillío, Villarrica, and Huerquehue National Parks), or national reserves (Malalcahuello, Las Nalcas, and Alto Biobío).",1.0
31,"(-39, -72)","[' Pucon', ' Cunco', 'Vallarica', 'Cautin', 'Aracania region', 'La Araucania', ' Araucania', ' Araucania', 'Villarica', ' Araucania', 'Araucania']","Virgin forests, featuring coigüe, raulí, and tepa, as well as bay and cypress trees, criss-cross the region in all directions. The majestic araucaria, or monkey puzzle tree, also known locally as pehuén, towers above the other trees. Its fruit—the piñón, a type of pine nut—is still a staple food for the indigenous Pehuenches.
A large part of this natural wealth is protected in various national parks (Nahuelbuta, Tolhuaca. Conguillío, Villarrica, and Huerquehue National Parks), or national reserves (Malalcahuello, Las Nalcas, and Alto Biobío).",2.0
32,"(-39, -70)","['Nequen province', 'Neugen']","Villa Regina lies 250 meters (820 feet) above sea level and is located along the Upper Río Negro (Black River) valley. It is within the limits of the General Roca department in the eastern Rio Negro province of northern Patagonia. Situated nearly 100 kilometers (62 miles) east of Neuquén and 500 kilometers (310 miles) northwest of Viedma, it is connected to the other cities in the orchard-rich Río Negro Valley via Highway 22. The region's landscape is characterized by a plateau to the north, the Río Negro Valley, and a plateau to the south. The plateaus have an average height of 100 meters (330 feet). The town encompasses the territory between the northern plateau and the productive areas near the Río Negro's border, which runs along the southern plateau. It has an irregular street system, with a mixture of old and modern buildings in its center. The flora is typical of the Patagonian steppe and includes small bushes with scarce spiny foliage like larrea, alpataco and atriplex lampa.",0.0
